Timestamp,Category,Workout,Variations,Sets,Duration_Minutes
2026-07-01T22:55:22.924930,Abs,Bicycle Crunch,,Set 1: 0kg x 30 reps (slowly I did ),0
2026-07-01T22:56:37.148213,Abs,Crunch,,Set 1: kg x 30 reps (with one dumble at leg); Set 2: kg x 30 reps (with 2 dumble); Set 3: kg x 30 reps (with dumbel),0
2026-07-01T23:00:10.303784,Abs,Toe Touches,,Set 1: kg x 30 reps (I did with speaks); Set 2: kg x 30 reps (I did with spaks),3
2026-07-02T12:53:55.079958,Back,Deadlift,,Set 1: 30kg x 10 reps; Set 2: 20kg x 10 reps; Set 3: 35kg x 10 reps,5
2026-07-02T12:54:52.929786,Back,Pull-up,,Set 1: 64kg x 10 reps; Set 2: 64kg x 10 reps; Set 3: 64kg x 7 reps,0
2026-07-02T12:55:45.858218,Back,T-Bar Row,,Set 1: 15kg x 10 reps; Set 2: 25kg x 10 reps; Set 3: 25kg x 10 reps,0
2026-07-02T12:56:44.575355,Back,Straight-arm Pulldown,,Set 1: 30kg x 10 reps; Set 2: 30kg x 10 reps; Set 3: 30kg x 10 reps,10
2026-07-02T12:57:42.437076,Back,Barbell Row,,Set 1: 30kg x 15 reps; Set 2: 30kg x 15 reps; Set 3: 30kg x 15 reps,10
2026-07-03T10:27:11.912255,Shoulders,Overhead Press (Dumbbell),,Set 1: 15kg x 15 reps (front); Set 2: 15kg x 15 reps (front); Set 3: 15kg x 15 reps (front),10
2026-07-03T10:27:14.120679,Shoulders,Overhead Press (Dumbbell),,Set 1: 15kg x 15 reps (front); Set 2: 15kg x 15 reps (front); Set 3: 15kg x 15 reps (front),10
2026-07-03T10:27:15.920544,Shoulders,Overhead Press (Dumbbell),,Set 1: 15kg x 15 reps (front); Set 2: 15kg x 15 reps (front); Set 3: 15kg x 15 reps (front),10
2026-07-03T10:27:33.023319,Shoulders,Overhead Press (Dumbbell),,Set 1: 15kg x 15 reps (front); Set 2: 15kg x 15 reps (front); Set 3: 15kg x 15 reps (front),10
2026-07-03T16:33:43.171316,Abs,Crunch,,Set 1: kg x 30 reps,3
2026-07-03T17:50:38.204983,Abs,Crunch,,Set 1: 20kg x 30 reps,6
2026-07-03T20:22:57.181541,Shoulders,Overhead Press (Barbell),,Set 1: 7.5kg x 15 reps; Set 2: 7.5kg x 15 reps; Set 3: 10kg x 10 reps,5
2026-07-03T20:51:03.763904,Shoulders,Machine Shoulder Press,,Set 1: 30kg x 30 reps; Set 2: 30kg x 30 reps; Set 3: 30kg x 30 reps,3
2026-07-03T20:51:14.466214,Abs,Crunch,,Set 1: 20kg x 30 reps,10
